user_id,attempt,recent_attempt,CF,recent_CF,u_bloom_score,u_3PL_score,u_recent_CF,CR,LI,LG,type
6226,37.0,0.0,0.16216216216216217,0.0,-8.5,-12.2756923282,0.0,12.520833333333334,-3.6666666666666665,1292.0,repeat
6227,124.0,0.0,0.3790322580645161,0.0,-12.5,-20.9528063248,0.0,37.458333333333336,7.729166666666667,3368.0,repeat
6228,301.0,0.0,0.9036544850498339,0.0,140.0,120.1574963921,0.0,48.458333333333336,66.27083333333333,1984.0,repeat
6229,12.0,0.0,0.25,0.0,-2.0,-2.6926602198,0.0,11.270833333333334,12.229166666666666,1180.0,repeat
6230,4.0,0.0,0.0,0.0,-1.0,-2.1795828485,0.0,12.1875,31.770833333333332,1128.0,new
6233,256.0,0.0,0.9375,0.0,130.0,113.3464029588,0.0,30.354166666666668,58.854166666666664,1574.0,repeat
6235,16.0,0.0,0.75,0.0,3.0,3.2957402343,0.0,10.0625,45.625,506.0,repeat
6236,29.0,0.0,0.5517241379310345,0.0,1.5,0.9042214845000001,0.0,11.229166666666666,25.0,732.0,repeat
6239,24.0,0.0,0.2916666666666667,0.0,-4.0,-4.8689985454,0.0,14.375,32.3125,1180.0,repeat
6240,24.0,0.0,0.16666666666666666,0.0,-6.5,-7.5259010094,0.0,17.0,8.0,404.0,repeat
6242,6.0,0.0,0.8333333333333334,0.0,1.0,1.8626669671,0.0,16.1875,45.1875,362.0,new
6243,14.0,0.0,0.5714285714285714,0.0,-1.5,-0.003370985299999907,0.0,29.34375,29.1875,968.0,repeat
6246,6.0,0.0,0.16666666666666666,0.0,-2.0,-1.4907017503,0.0,3.0,0.0,53.0,new
6248,129.0,0.0,0.8914728682170543,0.0,52.0,45.9457286861,0.0,57.671875,71.484375,718.0,repeat
6249,67.0,0.0,0.2537313432835821,0.0,-22.5,-14.5086142566,0.0,37.5,7.6875,1601.0,repeat
6250,8.0,0.0,0.375,0.0,-2.5,-1.0861387674999998,0.0,17.359375,15.125,685.0,new
6252,98.0,0.0,0.7755102040816326,0.0,33.0,20.8139230225,0.0,47.0,55.000000000000014,560.0,repeat
6253,6.0,0.0,0.6666666666666666,0.0,0.0,0.6995164049,0.0,37.0,62.0,365.0,new
6256,11.0,0.0,0.6363636363636364,0.0,5.0,-0.14101705510000007,0.0,17.0,50.0,209.0,new
6257,7.0,0.0,0.14285714285714285,0.0,-4.5,-2.6833063725999997,0.0,20.0,7.000000000000002,482.0,new
6261,176.0,0.0,0.6590909090909091,0.0,7.0,7.811698596499999,0.0,39.11392405063291,47.58227848101266,2462.0,repeat
6262,15.0,0.0,0.9333333333333333,0.0,7.0,5.5393900894,0.0,3.518987341772152,100.0,0.0,repeat
6264,33.0,0.0,0.5757575757575758,0.0,4.0,1.0137515331,0.0,11.0,39.0,689.0,repeat
6265,320.0,0.0,0.540625,0.0,15.0,7.235898229699999,0.0,60.54430379746835,27.379746835443036,5451.0,repeat
6267,165.0,0.0,0.44242424242424244,0.0,-1.0,-12.7795409737,0.0,41.9746835443038,13.772151898734178,3312.0,repeat
6270,97.0,0.0,0.17525773195876287,0.0,-23.5,-26.9002512361,0.0,33.860759493670884,10.531645569620252,3418.0,repeat
6271,6.0,0.0,0.16666666666666666,0.0,-5.0,-2.2677723105,0.0,3.0,20.0,241.0,new
6272,31.0,0.0,0.7096774193548387,0.0,1.0,2.5990941203,0.0,12.0,60.0,497.0,repeat
6273,224.0,0.0,0.8705357142857143,0.0,58.0,54.198525298199996,0.0,47.51764705882353,81.17647058823529,1344.0,repeat
6274,178.0,0.0,0.7191011235955056,0.0,39.0,23.205816559800002,0.0,39.0253164556962,34.835443037974684,2959.0,repeat
6275,144.0,0.0,0.4166666666666667,0.0,-22.5,-19.594287087100003,0.0,37.0,36.0,2609.0,repeat
6277,93.0,0.0,0.11827956989247312,0.0,-44.0,-32.5907916301,0.0,11.620253164556962,0.0,1310.0,repeat
6278,13.0,0.0,0.9230769230769231,0.0,6.0,3.2552209786,0.0,0.0,0.0,0.0,repeat
6279,337.0,0.0,0.4807121661721068,0.0,-13.0,-17.6058830123,0.0,62.576470588235296,28.48235294117647,5630.0,repeat
6281,223.0,0.0,0.7040358744394619,0.0,26.0,21.8219328407,0.0,47.63291139240506,49.18987341772152,2925.0,repeat
6282,200.0,0.0,0.785,0.0,37.0,30.9193085701,0.0,44.05882352941177,62.48235294117647,2154.0,repeat
6283,143.0,0.0,0.46153846153846156,0.0,2.5,-3.7202850222000006,0.0,39.0,24.0,3185.0,repeat
6284,13.0,0.0,0.5384615384615384,0.0,1.0,-0.4958711407999999,0.0,5.0,38.0,299.0,repeat
6285,31.0,0.0,0.5483870967741935,0.0,0.5,0.6009293523999999,0.0,7.686746987951807,18.253012048192772,574.0,repeat
6291,34.0,0.0,0.38235294117647056,0.0,-6.5,-4.4845048974,0.0,5.9156626506024095,18.433734939759034,389.0,repeat
6294,16.0,0.0,0.375,0.0,-2.5,-1.2497204327999998,0.0,14.000000000000002,20.0,214.0,repeat
6295,6.0,0.0,0.6666666666666666,0.0,-0.5,1.1781943572,0.0,3.0,0.0,13.0,new
6300,45.0,0.0,0.7555555555555555,0.0,9.5,9.8072656437,0.0,16.55421686746988,60.42168674698795,402.0,repeat
6302,16.0,0.0,0.25,0.0,-4.5,-3.3808122564,0.0,11.0,25.0,141.0,repeat
6305,25.0,0.0,0.48,0.0,-7.0,-0.9932192469,0.0,8.0,33.0,274.0,repeat
6308,16.0,0.0,0.8125,0.0,0.5,4.3935838179,0.0,11.0,38.0,109.0,repeat
6309,10.0,0.0,0.6,0.0,0.5,0.5069685064999999,0.0,8.0,33.0,77.0,new
6310,237.0,0.0,0.39662447257383965,0.0,-40.5,-42.4684763775,0.0,37.08433734939759,37.69879518072289,1800.0,repeat
6311,269.0,0.0,0.6282527881040892,0.0,48.5,46.3147258754,0.0,45.91891891891892,16.243243243243242,2276.0,repeat
6312,60.0,0.0,0.4,0.0,-8.5,-8.2509131542,0.0,15.373493975903614,15.795180722891565,1199.0,repeat
6315,17.0,0.0,0.4117647058823529,0.0,-2.5,-1.4097835384,0.0,4.313253012048193,0.0,294.0,repeat
6316,184.0,0.0,0.44565217391304346,0.0,-9.5,-19.6171766621,0.0,78.73417721518987,21.632911392405063,4232.0,repeat
6317,157.0,0.0,0.27388535031847133,0.0,-39.5,-36.7660578755,0.0,67.74683544303798,11.822784810126583,4232.0,repeat
6318,18.0,0.0,0.7222222222222222,0.0,3.5,2.4519634831,0.0,14.278481012658228,66.41772151898734,268.0,repeat
6319,23.0,0.0,0.7391304347826086,0.0,1.5,4.368552355,0.0,11.531645569620252,42.48101265822784,516.0,repeat
6320,182.0,0.0,0.7527472527472527,0.0,31.5,29.1949221224,0.0,58.81012658227848,57.21518987341772,1780.0,repeat
